Date,ITSHARE,GRSHARE,ATTKIT,ATTKGR
1970:01:00,0.128545643,0.009755285,2,2
1970:02:00,0.141462215,0.013068285,2,0
1970:03:00,0.154841251,0.015779174,12,6
1970:04:00,0.15502,0.016920679,4,1
1971:01:00,0.124255628,0.01356246,0,6
1971:02:00,0.141195921,0.019118316,0,3
1971:03:00,0.167069541,0.0223273,2,4
1971:04:00,0.152086585,0.023444032,0,4
1972:01:00,0.129952788,0.015133081,0,4
1972:02:00,0.139752189,0.020015405,6,3
1972:03:00,0.176989767,0.024697483,1,5
1972:04:00,0.151687583,0.024143216,0,2
1973:01:00,0.119008315,0.017043346,5,5
1973:02:00,0.136068977,0.023123219,9,9
1973:03:00,0.163212508,0.026277391,3,3
1973:04:00,0.137862823,0.024315464,6,2
1974:01:00,0.120198971,0.014486571,8,10
1974:02:00,0.12650628,0.023445814,4,4
1974:03:00,0.147839454,0.018289164,2,3
1974:04:00,0.123130053,0.016330222,10,0
1975:01:00,0.097771604,0.012896054,0,0
1975:02:00,0.136107062,0.019713438,3,1
1975:03:00,0.151857194,0.026369017,3,1
1975:04:00,0.124292778,0.024086041,1,1
1976:01:00,0.095791001,0.015135808,3,2
1976:02:00,0.108770357,0.025549081,14,3
1976:03:00,0.135537024,0.030744499,39,0
1976:04:00,0.1068134,0.027836219,1,6
1977:01:00,0.084861561,0.016900396,6,18
1977:02:00,0.142022863,0.026093439,2,0
1977:03:00,0.165724079,0.030848329,4,4
1977:04:00,0.150160189,0.024933835,19,4
1978:01:00,0.10546993,0.017376851,2,5
1978:02:00,0.147062103,0.028319768,2,0
1978:03:00,0.176620457,0.034095167,1,1
1978:04:00,0.150651266,0.028631113,1,2
1979:01:00,0.12989066,0.018047688,2,1
1979:02:00,0.171347544,0.026621535,0,0
1979:03:00,0.182797793,0.034209672,2,0
1979:04:00,0.143169058,0.034726554,3,1
1980:01:00,0.123905013,0.015408971,4,2
1980:02:00,0.160727042,0.025875069,10,23
1980:03:00,0.173468812,0.031047135,3,6
1980:04:00,0.13250478,0.029541109,6,0
1981:01:00,0.099784858,0.014137896,2,5
1981:02:00,0.138092757,0.028586317,4,12
1981:03:00,0.145629511,0.039508153,2,4
1981:04:00,0.118719507,0.030985192,13,1
1982:01:00,0.100293588,0.014774126,8,3
1982:02:00,0.146447934,0.022248821,14,14
1982:03:00,0.172776225,0.033550792,0,1
1982:04:00,0.138545023,0.023232152,4,2
1983:01:00,0.121051671,0.009037794,1,3
1983:02:00,0.167782512,0.018259282,2,5
1983:03:00,0.169932994,0.025996272,0,3
1983:04:00,0.145098039,0.018690029,1,4
1984:01:00,0.100832153,0.009826487,3,5
1984:02:00,0.161622625,0.020218824,5,4
1984:03:00,0.160933601,0.029260655,1,1
1984:04:00,0.150083295,0.020369529,4,7
1985:01:00,0.108651585,0.009648909,6,5
1985:02:00,0.150241045,0.020870202,5,3
1985:03:00,0.158259373,0.03097265,3,9
1985:04:00,0.137294637,0.018745024,5,13
1986:01:00,0.101063417,0.008926492,2,6
1986:02:00,0.147427065,0.021326304,7,4
1986:03:00,0.157696353,0.033748247,2,1
1986:04:00,0.132903745,0.020942408,2,1
1987:01:00,0.094589069,0.009608832,4,2
1987:02:00,0.145270926,0.022043115,5,2
1987:03:00,0.14063333,0.029711767,2,3
1987:04:00,0.111491815,0.018763257,2,2
1988:01:00,0.088664896,0.009415741,0,2
1988:02:00,0.124639934,0.023638608,3,7
1988:03:00,0.129065174,0.02801185,0,3
1988:04:00,0.104071058,0.014705157,0,2
